time,sender,destination,amount
251.52,10,0,10.22
251.86,27,3,5.26
252.40,12,0,7.58
252.77,7,2,4.71
253.06,10,3,15.31
253.58,19,3,13.49
254.45,14,7,19.82
254.75,13,4,10.13
255.14,17,14,10.77
256.10,26,7,11.72
256.42,24,2,17.68
257.10,30,3,9.28
257.42,33,3,9.86
258.11,0,3,15.51
258.66,19,0,1.78
259.19,31,6,15.04
259.86,2,11,76.55
260.34,1,3,47.63
261.11,26,3,3.84
262.00,13,3,2.75
262.25,13,38,16.93
262.50,24,9,14.28
262.95,12,29,7.95
263.51,17,32,14.28
264.37,14,0,5.40
264.57,25,1,6.37
265.56,22,14,8.62
266.43,0,3,4.21
266.47,21,11,3.75
266.84,9,3,15.31
267.58,11,0,1.07
268.10,3,0,69.78
268.92,3,0,45.58
269.81,11,3,15.38
270.37,22,3,1.50
270.42,6,24,10.47
270.55,0,11,69.71
271.21,16,0,1.17
271.34,26,29,2.78
271.48,29,3,14.62
272.26,14,2,10.17
272.71,11,10,6.57
272.99,27,14,8.46
273.24,14,32,11.66
273.98,28,0,17.11
274.75,8,26,14.00
275.33,15,23,14.93
275.57,16,6,17.17
275.90,8,25,9.13
276.63,16,26,13.91
277.01,1,0,49.20
277.65,6,25,13.80
277.77,33,38,13.60
278.18,10,3,12.63
278.70,32,0,12.75
278.94,12,16,11.45
279.78,13,30,4.04
280.16,30,10,17.68
280.53,28,0,12.24
280.97,5,38,12.46
281.48,3,0,9.36
281.92,11,3,4.20
282.39,11,0,12.44
282.86,26,0,14.72
283.13,10,31,11.33
283.72,8,3,14.67
284.33,17,0,4.03
285.30,22,24,12.95
285.33,16,14,2.66
286.24,20,11,13.81
286.32,0,13,8.67
287.27,16,38,5.75
287.33,25,3,1.67
287.96,33,10,6.00
288.56,2,29,14.39
289.18,32,0,9.11
289.52,31,30,11.42
289.72,8,0,15.11
290.64,34,20,5.23
291.38,32,38,5.65
292.07,8,3,7.96
292.75,21,9,2.04
292.78,27,3,4.17
293.45,17,0,6.47
293.99,1,3,77.55
294.33,1,0,41.40
294.61,25,24,1.44
295.29,4,0,19.34
295.53,1,3,17.01
296.46,1,20,25.87
297.04,29,3,15.60
297.60,33,38,15.27
298.00,19,3,8.68
298.47,33,6,3.08
298.76,25,0,11.38
299.75,31,3,15.12
300.09,20,0,2.03
300.96,34,8,8.95
301.87,10,6,19.93
302.00,1,5,1.81
302.43,2,0,1.08
303.09,7,3,3.21
303.51,14,3,1.03
303.65,20,16,4.19
304.03,1,3,14.04
304.15,22,2,14.93
304.72,15,3,11.96
305.62,11,13,1.28
306.56,10,6,16.33
307.22,0,35,11.69
308.02,4,26,8.74
308.26,1,35,6.21
308.83,0,3,24.58
309.23,22,0,8.97
310.14,0,1,15.05
310.57,23,0,16.41
310.64,17,32,16.75
310.81,16,25,19.02
311.19,9,0,15.61
311.99,1,0,28.36
312.46,14,0,13.48
313.39,23,3,3.23
314.30,24,0,6.79
314.72,3,6,16.68
315.25,33,3,3.52
316.03,12,3,18.34
316.53,21,20,2.87
316.54,25,31,12.82
317.27,0,23,8.14
317.67,27,32,5.71
318.12,2,0,43.83
318.13,26,3,13.60
318.53,13,0,11.24
318.66,13,3,6.12
319.35,9,8,2.34
319.96,15,3,1.05
320.43,7,23,3.07
320.82,2,13,3.49
320.83,9,10,10.11
321.24,25,5,5.18
321.54,20,13,16.36
321.69,9,17,1.31
321.90,24,0,6.48
322.40,22,7,18.54
322.82,22,2,7.83
323.53,13,1,18.17
323.83,33,20,16.09
323.96,34,22,19.60
324.28,18,4,5.19
325.26,27,0,4.83
325.89,28,4,3.91
326.32,24,5,18.16
326.96,1,2,7.07
327.55,28,3,11.28
328.40,5,3,10.09
328.75,27,3,19.95
329.51,8,3,19.34
330.19,26,31,3.12
331.05,16,3,13.24
331.40,25,0,17.78
331.44,0,3,19.31
331.48,10,3,9.58
331.86,21,6,4.20
332.72,14,3,5.75
333.35,0,3,43.33
334.01,20,25,17.04
334.85,1,3,3.80
335.82,19,2,13.89
336.41,1,3,72.10
337.09,1,31,53.79
337.95,0,3,40.03
338.52,27,3,17.82
338.98,3,0,14.37
339.54,1,3,1.71
339.83,0,3,73.33
340.28,0,31,70.57
340.29,34,8,19.83
340.81,0,25,46.37
341.68,6,8,6.44
342.10,2,14,32.28
342.95,31,2,4.74
343.08,34,3,17.51
343.92,26,0,7.85
344.72,19,23,10.02
345.70,19,3,6.55
345.81,2,23,9.86
346.63,0,3,49.14
346.71,33,16,19.54
347.63,1,3,6.83
347.96,11,30,6.73
348.81,8,3,5.67
349.47,3,14,9.10
350.02,0,3,10.47
350.63,2,31,39.22
351.50,17,8,9.72
351.62,29,2,13.90
351.97,0,10,39.27
352.75,25,0,6.78
353.26,2,0,21.14
353.41,7,3,9.17
354.13,2,3,14.54
354.33,2,32,58.81
354.45,2,3,42.53
355.38,29,3,8.66
356.36,31,0,8.21
356.73,4,10,9.78
357.58,3,29,57.89
358.02,17,3,7.26
358.97,21,20,3.28
359.23,2,3,7.09
359.57,0,38,27.55
360.21,4,3,17.25
360.85,21,0,8.49
360.92,10,30,11.10
361.24,4,0,4.95
361.68,18,0,19.66
362.46,25,1,6.37
363.45,29,30,19.00
363.75,29,3,12.39
364.01,22,29,17.49
364.42,24,3,4.15
365.24,2,0,7.32
365.86,1,0,50.29
366.66,11,38,6.50
367.14,7,31,19.91
367.76,4,13,9.87
368.35,17,0,9.73
368.44,18,3,18.73
368.84,0,4,16.17
369.39,11,16,7.27
369.85,29,0,15.09
370.10,2,22,29.45
370.34,22,0,19.77
370.36,16,0,13.86
370.80,34,7,2.54
371.51,2,0,28.29
371.68,8,0,16.08
372.53,26,6,6.10
372.91,1,3,25.02
373.41,34,0,18.72
373.46,9,3,2.70
373.62,30,3,19.62
374.50,3,11,3.59
375.20,0,1,56.57
375.69,14,29,12.19
376.10,32,8,10.97
376.21,14,0,6.71
376.62,21,3,7.05
376.81,24,3,14.42
377.27,7,26,14.37
377.72,11,26,7.21
377.90,33,0,1.25
377.97,27,0,14.18
378.39,30,32,15.98
379.22,32,0,5.62
379.58,12,3,9.90
379.92,15,0,5.90
380.42,0,23,61.11
381.26,10,0,8.50
381.58,0,16,53.04
381.93,34,31,7.99
382.73,12,3,8.70
382.88,28,17,2.62
383.74,10,23,15.50
383.76,14,7,6.38
384.58,1,35,46.96
385.34,19,13,7.39
386.07,8,26,14.98
386.19,0,4,18.42
386.62,4,30,14.04
387.38,1,3,41.55
387.46,2,16,20.15
387.50,21,16,11.00
388.49,1,9,10.86
388.56,5,29,10.98
389.55,33,3,2.43
390.54,12,0,4.96
391.38,4,32,4.98
391.67,27,0,16.33
392.35,22,17,9.17
392.95,13,3,6.45
393.43,3,0,11.87
393.94,9,3,6.30
394.45,2,9,3.57
394.56,28,35,7.05
394.64,13,3,14.34
395.09,10,35,16.31
395.63,27,3,3.51
396.02,19,31,6.83
396.23,16,13,1.42
396.65,13,2,16.66
397.19,23,29,9.20
397.71,1,0,63.43
398.06,4,0,16.21
398.68,22,0,16.95
399.57,27,3,7.99
399.76,28,0,13.52
400.31,2,3,6.92
400.57,20,0,7.08
400.58,14,1,3.54
401.14,28,0,17.79
401.58,28,30,9.28
401.60,32,0,13.79
402.00,18,25,13.75
402.37,6,30,17.33
403.02,1,3,58.40
403.66,0,3,62.62
404.33,13,3,9.04
404.36,33,16,19.66
405.12,11,23,1.31
405.57,6,3,12.27
405.94,28,6,1.38
406.54,29,38,13.17
406.75,3,6,57.80
407.06,3,0,63.92
408.05,25,30,12.08
408.14,23,2,16.87
408.59,7,3,13.26
409.30,12,0,6.85
410.01,7,22,9.45
410.32,24,25,1.80
411.20,0,3,64.33
411.49,15,31,15.74
411.58,2,20,49.18
411.66,8,5,10.13
412.61,16,0,11.27
413.42,31,3,18.23
413.92,22,3,12.85
414.25,18,23,4.41
415.00,10,35,4.88
415.62,19,0,17.07
416.47,7,0,19.82
416.90,32,3,9.55
417.32,2,0,5.62
417.84,0,3,54.11
418.66,25,0,11.15
419.49,2,17,52.40
419.67,23,26,6.61
420.57,28,3,12.85
420.74,29,3,17.06
420.81,3,0,50.54
420.98,0,31,14.02
421.20,27,5,9.81
422.15,1,3,24.75
422.39,25,3,14.10
423.15,8,10,4.04
423.55,23,3,19.50
424.45,13,3,15.29
424.55,0,14,69.54
424.66,33,3,3.76
425.48,33,1,11.07
425.54,18,0,6.26
425.67,24,9,9.28
426.34,18,0,12.06
427.04,2,13,12.14
427.74,13,32,1.05
428.65,6,17,5.24
428.84,33,0,11.21
429.18,5,4,8.29
429.92,31,3,16.20
430.80,6,3,14.65
430.91,5,26,14.67
430.96,1,2,1.09
431.30,32,22,9.49
432.10,9,0,6.01
432.49,30,3,7.79
432.84,1,3,16.01
433.66,10,0,4.33
434.46,3,4,2.32
434.55,26,31,4.78
435.51,28,29,19.12
436.34,34,3,9.56
436.59,28,26,18.91
437.31,1,3,14.85
437.32,12,0,9.74
438.00,20,3,15.92
438.15,15,0,18.33
438.65,33,35,18.23
438.90,11,0,1.95
439.62,21,3,18.61
440.13,8,0,15.91
440.26,3,0,30.19
440.83,0,10,30.21
441.55,4,0,14.05
442.37,27,7,16.26
443.16,0,3,13.85
443.39,12,22,14.36
443.43,18,17,14.78
443.99,34,0,19.86
444.18,31,29,16.00
445.07,2,0,17.45
446.06,29,24,15.75
446.48,11,31,4.61
447.04,6,0,8.49
447.28,8,0,19.99
448.16,3,31,16.23
448.96,7,3,7.13
449.48,34,13,12.80
449.63,3,16,44.59
450.61,17,4,6.83
451.34,16,3,18.28
451.52,18,3,6.78
452.21,29,0,2.41
452.26,21,31,10.54
452.29,3,0,45.58
453.26,17,3,2.61
453.94,0,2,150.98
454.00,2,4,3.68
454.79,5,23,11.22
454.85,30,9,5.75
455.00,10,3,18.58
455.41,1,0,57.72
456.28,32,3,17.36
456.86,13,24,2.39
457.69,18,5,16.44
457.80,2,0,11.48
458.28,5,3,8.19
458.52,26,3,3.84
459.10,15,29,8.19
459.36,1,3,72.53
459.90,3,9,33.59
460.08,11,3,4.20
460.87,33,0,3.74
460.97,0,29,12.29
461.75,11,17,8.08
461.81,6,0,9.09
462.62,29,1,5.13
463.35,34,26,11.31
463.97,3,0,10.48
464.11,3,11,2.74
464.98,8,3,12.74
465.34,33,16,7.74
465.39,5,0,9.07
465.52,18,0,1.04
465.95,1,25,40.58
466.71,28,25,12.81
467.67,0,26,19.16
467.88,16,35,3.79
468.29,15,3,9.75
468.47,28,35,1.71
469.28,1,13,6.15
470.16,22,32,13.51
471.01,21,22,11.35
471.59,27,25,4.75
471.78,28,3,1.99
472.56,22,0,1.26
472.74,18,0,3.31
472.79,23,9,3.73
473.43,34,6,7.47
473.58,23,1,15.87
474.43,2,13,66.89
474.72,31,20,1.99
474.84,17,11,15.94
475.37,19,0,16.41
475.53,33,0,12.57
476.15,5,31,4.82
477.14,23,3,18.06
477.30,0,30,43.43
478.22,1,23,2.41
478.43,1,7,49.94
478.58,30,3,4.06
479.43,23,5,11.12
479.47,3,8,61.35
479.66,16,2,13.80
479.87,6,0,2.44
480.39,27,22,17.62
481.16,33,3,3.48
482.03,32,22,17.36
482.71,18,17,16.73
483.41,19,9,2.68
483.44,1,3,36.31
484.15,11,1,7.84
484.66,17,3,1.47
484.74,13,3,19.96
485.69,0,3,38.51
485.91,24,0,18.29
486.38,14,0,4.38
486.52,27,3,13.13
487.44,1,30,37.05
487.95,29,14,19.91
488.84,11,3,9.93
489.04,9,3,8.13
489.18,29,0,4.25
489.69,14,3,5.32
489.73,9,3,12.11
490.44,17,3,11.38
491.42,8,0,6.44
491.54,31,3,15.23
491.94,2,30,15.90
492.21,27,0,16.48
492.77,14,3,14.31
493.60,10,17,10.91
493.87,19,0,14.11
494.79,1,31,41.54
495.57,24,2,7.67
496.51,31,29,16.36
496.99,21,0,4.70
497.79,10,7,4.21
498.64,17,14,8.29
498.81,11,26,12.53
499.63,23,38,17.04
500.36,11,23,14.27
501.14,0,11,67.76
501.68,16,30,5.57
502.31,4,0,1.54
502.83,34,0,15.31
503.49,16,8,14.33
504.39,24,10,1.85
505.15,16,23,5.91
505.45,15,0,9.62
506.40,28,3,12.25
506.79,2,4,11.82
507.62,15,0,17.48
508.36,25,1,6.37
508.79,2,3,19.64
509.19,21,0,17.98
509.88,32,0,19.52
510.59,20,0,13.38
511.06,1,29,24.99
511.36,15,3,3.72
511.78,31,17,2.62
511.99,0,8,12.68
512.81,29,10,10.35
513.65,7,23,15.25
514.16,7,3,19.77
514.18,1,4,70.43
515.02,34,7,12.38
515.80,21,31,17.57
516.58,8,0,10.93
517.00,0,22,31.02
517.37,8,3,2.28
517.49,4,0,9.27
518.02,29,0,10.55
518.06,4,14,15.26
518.28,33,1,5.90
518.34,3,30,44.36
519.19,9,4,14.42
519.35,25,2,19.28
519.88,1,0,73.11
520.28,23,2,4.14
520.68,10,3,5.83
521.16,15,17,4.98
522.14,0,30,7.44
523.01,29,0,8.96
523.12,6,3,18.05
523.47,1,7,10.36
523.81,1,29,30.24
524.14,17,3,2.57
524.96,1,0,57.99
525.19,13,2,11.60
525.50,26,10,12.31
526.18,6,9,4.58
526.43,22,0,14.24
526.79,0,10,28.49
526.80,2,23,21.85
527.18,23,30,16.05
528.15,3,24,8.80
528.57,3,0,65.71
529.26,2,0,39.86
529.60,32,3,6.39
530.34,10,16,19.42
530.58,14,9,2.74
531.37,16,0,5.60
532.12,3,31,61.74
532.94,28,13,13.78
533.68,23,4,3.81
534.68,23,3,4.08
535.61,2,13,32.55
535.99,17,3,18.94
536.61,15,0,15.99
537.20,19,3,18.97
537.42,1,38,15.17
538.37,12,3,14.73
538.55,6,3,4.28
539.49,12,5,14.59
540.26,1,5,14.43
540.76,7,2,9.43
540.90,3,2,10.81
541.28,28,3,10.83
542.10,27,3,2.07
542.95,9,3,3.99
543.81,16,3,12.57
544.43,24,0,3.67
545.26,18,22,17.43
546.05,28,0,10.60
546.31,13,2,14.87
547.20,12,38,3.42
547.21,12,6,13.32
547.68,3,0,48.73
548.15,3,0,12.23
548.58,26,0,17.59
548.65,7,3,10.99
548.90,11,3,3.56
549.18,9,0,8.76
549.38,5,2,13.85
550.02,7,0,19.83
550.57,4,22,6.70
550.87,24,0,7.92
551.46,2,38,1.51
551.56,17,31,10.28
551.94,21,22,13.98
552.80,1,8,46.13
553.10,31,1,5.99
553.57,26,9,8.66
554.09,5,10,18.07
554.98,7,26,17.37
555.30,19,3,19.28
555.35,14,24,8.85
555.91,33,13,6.30
556.15,3,29,74.40
556.48,1,6,57.31
556.53,1,5,35.77
557.30,11,3,15.95
557.59,12,3,3.63
558.36,16,38,2.69
558.46,1,13,57.17
559.36,3,0,2.61
559.40,17,25,16.74
560.34,29,0,1.83
560.82,34,3,19.86
561.33,3,7,14.27
561.54,4,0,3.34
562.38,0,5,14.63
562.56,0,24,2.40
563.37,2,0,67.84
563.85,16,3,2.36
564.11,7,0,6.99
564.50,3,26,3.93
565.36,29,3,19.02
565.41,29,3,3.85
565.74,31,4,12.98
566.57,9,3,10.33
567.43,17,9,15.05
567.77,33,5,16.95
567.89,24,3,1.39
568.53,18,3,19.74
569.37,31,0,10.64
570.24,22,17,11.58
570.99,3,0,16.82
571.60,25,3,16.13
572.22,10,3,14.25
573.05,31,4,18.60
573.48,2,1,32.61
574.03,29,0,10.99
574.05,31,1,5.08
574.78,20,0,1.61
574.87,1,32,16.94
575.31,7,9,19.54
576.31,18,0,15.73
